ISO_3 country name,Country name,Income group,WHO Region,PC1,PC2,Cluster,Cluster_name,anomaly_label,is_anomaly,anomaly_score
NER,Niger,Low income,African Region,-0.2270630288878634,-0.014044664840402586,0,Developing-country road profile,1,False,-0.1130793343819565
NGA,Nigeria,Lower middle income,African Region,1.8154310302357894,-1.063469110501569,3,Atypical reporting,1,False,-0.03522493167243618
NIU,Niue,,Western Pacific Region,-0.9704679047453717,-1.1532689590027432,2,Low-motorization mixed,-1,True,0.07348086921709585
MKD,North Macedonia,Upper middle income,European Region,0.8564449988781285,-2.5427499419199258,1,Rich-country car culture,1,False,-0.11031524971510831
NOR,Norway,High income,European Region,3.815938584783974,-2.271505428505806,1,Rich-country car culture,1,False,-0.0879101084273346
PSE,Palestine,Lower middle income,Eastern Mediterranean Region,-0.2743100599566639,-2.6330813491743164,2,Low-motorization mixed,1,False,-0.04545171511514762
OMN,Oman,High income,Eastern Mediterranean Region,-1.9316800831476066,2.1130618954262466,0,Developing-country road profile,1,False,-0.05402058080175509
PAK,Pakistan,Lower middle income,Eastern Mediterranean Region,0.07437872022395153,2.6226466902948546,0,Developing-country road profile,1,False,-0.04328232284969358
PAN,Panama,High income,Region of the Americas,-0.3999969305931189,-0.017601305889142535,0,Developing-country road profile,1,False,-0.1473834817389723
PRY,Paraguay,Upper middle income,Region of the Americas,0.4673869336211016,1.0482118363385182,0,Developing-country road profile,1,False,-0.09779798135562584
PER,Peru,Upper middle income,Region of the Americas,1.0477225711121294,1.4379996572352167,0,Developing-country road profile,1,False,-0.12793256386750756
PHL,Philippines,Lower middle income,Western Pacific Region,0.4888916364991997,0.15723541125197352,0,Developing-country road profile,1,False,-0.00040800218312408987
POL,Poland,High income,European Region,4.593275396522871,0.05397530801846609,1,Rich-country car culture,1,False,-0.09340112442291004
PRT,Portugal,High income,European Region,3.5223487607308175,-0.9683011589128748,1,Rich-country car culture,1,False,-0.12543119761489763
QAT,Qatar,High income,Eastern Mediterranean Region,-0.6753242891999575,-0.11666247636896837,0,Developing-country road profile,1,False,-0.11328576814442803
KOR,Republic of Korea,High income,Western Pacific Region,1.896155025809985,1.8261390546400127,1,Rich-country car culture,1,False,-0.08474100311686728
MDA,Republic of Moldova,Upper middle income,European Region,0.5025663843843162,-1.0221066496950202,1,Rich-country car culture,1,False,-0.13941603317232476
RUS,Russian Federation,Upper middle income,European Region,3.1247092530881058,2.235448478189662,1,Rich-country car culture,1,False,-0.04987230582576602
RWA,Rwanda,Low income,African Region,-1.2730326700475876,0.13479722579607922,0,Developing-country road profile,1,False,-0.12685526278099418
LCA,Saint Lucia,Upper middle income,Region of the Americas,0.267453984038019,-1.9454524401984894,3,Atypical reporting,1,False,-0.03566090020306817
WSM,Samoa,Lower middle income,Western Pacific Region,-3.9127839348699,-3.804111969522485,2,Low-motorization mixed,1,False,-0.013913827253491218
STP,Sao Tome and Principe,Lower middle income,African Region,-1.4556693624979813,0.6241339880976069,0,Developing-country road profile,1,False,-0.11993383151009807
SAU,Saudi Arabia,High income,Eastern Mediterranean Region,-1.7796902527812637,2.4624024531946986,0,Developing-country road profile,1,False,-0.10956507127280724
SEN,Senegal,Lower middle income,African Region,-1.4433268209835717,0.3981782848287265,0,Developing-country road profile,1,False,-0.0962385411449101
SRB,Serbia,Upper middle income,European Region,1.3443565672331532,-1.5876408384813303,1,Rich-country car culture,1,False,-0.13360198527541334
SYC,Seychelles,High income,African Region,-1.6004344329625726,-0.7613132324636063,2,Low-motorization mixed,1,False,-0.1009569514755197
SLE,Sierra Leone,Low income,African Region,-1.2172408529945384,-0.33352335974823627,3,Atypical reporting,1,False,-0.10025743250852809
SGP,Singapore,High income,Western Pacific Region,1.2842659249776525,-1.4435298699047125,1,Rich-country car culture,1,False,-0.09308392586876646
SVK,Slovakia,High income,European Region,2.3298006411509764,-1.874959311637563,1,Rich-country car culture,1,False,-0.1327425222040568
SVN,Slovenia,High income,European Region,2.7808523380825108,-2.0185130542366188,1,Rich-country car culture,1,False,-0.10003700849784086
SOM,Somalia,Low income,Eastern Mediterranean Region,-4.727007240271761,-1.1066650020322342,2,Low-motorization mixed,1,False,-0.017005991501607975
ZAF,South Africa,Upper middle income,African Region,-0.9605448348758515,2.253387211189041,0,Developing-country road profile,1,False,-0.09497201006538736
SSD,South Sudan,Low income,African Region,-4.19830985147679,0.6528537386876392,0,Developing-country road profile,1,False,-0.06744327591421961
ESP,Spain,High income,European Region,4.386954752187302,0.07761944333698091,1,Rich-country car culture,1,False,-0.09850643347242921
LKA,Sri Lanka,Lower middle income,South-East Asia Region,1.5437915567509821,0.840407956772538,1,Rich-country car culture,1,False,-0.06150285594986582
SDN,Sudan,Low income,Eastern Mediterranean Region,-2.4343523364027497,2.0626944905153617,0,Developing-country road profile,1,False,-0.06953491072239637
SUR,Suriname,Upper middle income,Region of the Americas,-0.8870826592626129,-1.4187508884365285,2,Low-motorization mixed,1,False,-0.05636544815131095
SWE,Sweden,High income,European Region,4.30078858924872,-2.1885072488367965,1,Rich-country car culture,1,False,-0.10549681939415323
CHE,Switzerland,High income,European Region,3.66099822472639,-1.6841720467739867,1,Rich-country car culture,1,False,-0.09444865617460718
SYR,Syrian Arab Republic,Low income,Eastern Mediterranean Region,-2.8276568168165896,1.6158070836692728,0,Developing-country road profile,1,False,-0.09034623642805123
TJK,Tajikistan,Lower middle income,European Region,-2.0338037345790383,-0.26790470302586894,0,Developing-country road profile,1,False,-0.11883529219341449
