ISO_3 country name,Country name,Income group,WHO Region,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated rate per 100 000 population,Total paved kilometres (year),Year total paved kilometres,Total registered vehicles ,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles ,Powered 2- and 3-wheelers ,Heavy trucks ,Buses ,Year total registered vehicles,Year by fatality reduction target ,Adherence to one or more of the 7 UN road safety conventions,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Legislation on drink driving,Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Legislation requiring the use of child safety restraint systems that meet appropriate standards,2010 WHO-estimated rate per 100 000 population (update),2016 WHO-estimated rate per 100 000 population (update)
RWA,Rwanda,Low income,African Region,2021,86.2,13.8,14.6,21.0,32.3,23.1,9.0,11.6,7.738923757439457,2021.0,12.50867042370474,2010.661506023524,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,1,1,2,2,2,1,18.9,15.2
LCA,Saint Lucia,Upper middle income,Region of the Americas,2021,7.1,92.9,46.7,20.0,13.3,13.3,6.7,8.9,9.719985298994011,2021.0,11.227840018365713,41855.5977979527,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,0,1,2,2,2,1,9.4,9.1
WSM,Samoa,Lower middle income,Western Pacific Region,2021,63.1,31.58,21.05,0.0,63.16,0.0,15.79,9.6,7.113956109566034,2022.0,10.300819677414104,13601.87233731327,14.328842438443496,4.143134726391533,4.394449154672439,6.300785794663244,2021.0,2030.0,0,1,2,2,2,1,11.3,10.2
STP,Sao Tome and Principe,Lower middle income,African Region,2021,79.0,20.74,25.0,32.1,42.9,0.0,0.0,11.7,9.719985298994011,2021.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2020.0,2030.0,0,2,1,1,2,1,18.7,12.2
SAU,Saudi Arabia,High income,Eastern Mediterranean Region,2021,89.0,11.0,35.25,15.4,24.0,2.5,7.799999999999999,18.5,11.192458458572395,2022.0,16.508182450024282,41087.41667268422,14.328842438443496,11.572975804270962,11.469882255377264,9.864018808625762,2021.0,2030.0,2,1,1,2,3,1,32.2,38.8
SEN,Senegal,Lower middle income,African Region,2021,79.0,20.74,55.4,15.4,44.6,2.5,0.0,20.8,8.734721003944811,2021.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2020.0,3,3,1,1,2,1,21.0,19.1
SRB,Serbia,Upper middle income,European Region,2021,78.0,22.0,44.0,8.8,28.4,9.2,9.6,7.4,9.579418082631959,2022.0,14.679873267738067,32527.98601682471,14.328842438443496,11.34743742614418,11.469882255377264,9.254070134837509,2021.0,2030.0,5,3,3,2,3,1,8.9,8.4
SYC,Seychelles,High income,African Region,2021,85.7,14.2,0.0,42.8,28.6,0.0,28.6,6.6,6.2324480165505225,2010.0,10.257554097558293,26764.0953874764,14.328842438443496,7.291656209174461,11.469882255377264,9.864018808625762,2021.0,2030.0,2,1,2,2,3,1,14.1,11.9
SLE,Sierra Leone,Low income,African Region,2021,40.0,60.0,35.25,15.4,24.0,2.5,7.799999999999999,13.8,9.719985298994011,2021.0,11.008115046859025,716.8219141511911,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,1,2,2,2,3,1,24.3,20.9
SGP,Singapore,High income,Western Pacific Region,2021,84.1,15.9,17.8,46.7,21.5,10.3,3.6999999999999997,1.9,8.406485069431817,2021.0,13.804202866313604,16642.73715464917,14.328842438443496,11.865200744564273,10.733522985158196,9.789030230558303,2021.0,2030.0,1,1,2,3,3,3,3.9,2.5
SVK,Slovakia,High income,European Region,2021,79.0,20.74,50.2,8.7,29.1,7.6,4.4,6.4,9.806921584559797,2022.0,14.679231180669698,30510.00001841328,14.328842438443496,12.406541047805165,11.469882255377264,9.864018808625762,2021.0,2030.0,7,2,3,2,3,3,9.0,6.2
SVN,Slovenia,High income,European Region,2021,81.6,18.4,43.8,30.7,13.2,8.8,3.5,5.8,9.897570078772091,2021.0,14.318073338269024,77991.09186047061,13.999976480628114,11.825609858145427,11.725283056390554,7.878155336503324,2021.0,2022.0,7,2,3,3,3,2,7.1,6.4
SOM,Somalia,Low income,Eastern Mediterranean Region,2021,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,20.2,7.95892649305011,2019.0,11.786944623452825,770.6916043467843,11.707867053120285,12.406541047805165,9.210440366976517,0.0,2021.0,2030.0,0,3,1,1,1,1,29.7,28.1
ZAF,South Africa,Upper middle income,African Region,2021,76.0,20.0,57.0,0.0,42.0,1.0,0.0,24.5,11.138261106014776,2015.0,15.850487802903814,12883.96441589901,14.7980814184968,12.758899727975022,12.871625068848864,12.933650237894627,2021.0,2030.0,4,1,2,2,3,1,31.2,28.9
SSD,South Sudan,Low income,African Region,2022,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,23.3,7.0909098220799835,2021.0,10.401562227376685,306.1887529455898,14.328842438443496,11.197502137536723,8.928242677818302,9.48774481001683,2021.0,2030.0,0,2,1,1,1,1,30.9,25.8
